Format Version,1.23,Take Name,railsar_final,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 03.48.57.523 PM,Total Frames in Take,10062,Total Exported Frames,10062,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,SAR:Marker1,SAR:Marker1,SAR:Marker1,SAR:Marker2,SAR:Marker2,SAR:Marker2,SAR:Marker3,SAR:Marker3,SAR:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","C9C00","C9C00","C9C00","C93D0","C93D0","C93D0","C9D60","C9D60","C9D60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
63,0.175000,-0.006445,-0.001517,0.005412,-0.999963,-5.019226,1.784338,-0.068697,-4.980496,1.779341,-0.005152,-4.987181,1.781468,-0.173993,-5.087710,1.789055,-0.027124
64,0.177778,-0.005844,-0.002235,0.006681,-0.999958,-5.019171,1.784178,-0.068886,-4.980304,1.780230,-0.005562,-4.987762,1.780239,-0.173205,-5.087543,1.789158,-0.027329
65,0.180556,-0.001226,-0.003109,-0.000508,-0.999994,-5.019292,1.784756,-0.068927,-4.980629,1.782491,-0.006469,-4.987742,1.780228,-0.173546,-5.087546,1.789190,-0.027396
66,0.183333,-0.001305,-0.003591,-0.000555,-0.999993,-5.019372,1.784745,-0.069050,-4.980633,1.782434,-0.006480,-4.987773,1.780227,-0.173205,-5.087547,1.789224,-0.027384
67,0.186111,-0.003785,-0.002122,0.001358,-0.999990,-5.019167,1.784662,-0.068895,-4.980628,1.782427,-0.006469,-4.987179,1.781494,-0.174003,-5.087552,1.789098,-0.027327
68,0.188889,-0.006311,-0.001930,0.007186,-0.999952,-5.019203,1.784050,-0.068820,-4.980846,1.779141,-0.004976,-4.987783,1.780233,-0.173202,-5.087538,1.789143,-0.027368
69,0.191667,-0.006343,-0.002789,0.006562,-0.999955,-5.019316,1.784151,-0.068773,-4.980343,1.780091,-0.005501,-4.987731,1.780181,-0.173547,-5.087680,1.788994,-0.027076
70,0.194444,-0.001330,-0.002361,-0.001601,-0.999995,-5.019212,1.784592,-0.069007,-4.980654,1.782450,-0.006447,-4.987869,1.780077,-0.173389,-5.087840,1.790941,-0.027847
71,0.197222,-0.006261,-0.002917,0.006441,-0.999955,-5.019285,1.784152,-0.068782,-4.980316,1.780157,-0.005532,-4.987739,1.780136,-0.173558,-5.087661,1.789136,-0.027159
72,0.200000,-0.005416,-0.002593,0.005548,-0.999967,-5.019331,1.784280,-0.068827,-4.980506,1.779311,-0.005155,-4.987720,1.780113,-0.173546,-5.087527,1.789140,-0.027387
